"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sejuani","Jungle",19,"21.1%","7.8%","28.9%","53%","63%",35,43,114,3.5,"66.5%","19.5%","58%",125,47,-0.9,4.8,"13.9%",197,"11.6%","15.6%",0.59,0.39
"Senna","ADC",21,"23.3%","46.7%","71.1%","67%","24%",79,33,172,7.6,"81.2%","15.7%","33%",-337,-4,-18.7,6.9,"24.1%",465,"25.6%","23.3%",0.49,0.29
"Senna","Support",1,"1.1%","46.7%","71.1%","0%","0%",1,3,2,1,"75.0%","23.1%","0%",230,-246,-10,1,"4.1%",311,"15.9%","10.7%",1.57,0.54
"Sett","Middle",4,"4.4%","30.0%","72.2%","50%","75%",19,12,17,3,"70.6%","19.7%","50%",-150,-144,-1.5,7.9,"24.4%",459,"23.6%","26.3%",0.52,0.19
"Sett","Support",3,"3.3%","30.0%","72.2%","67%","100%",4,9,27,3.4,"81.6%","31.0%","67%",214,204,0,1.2,"3.3%",252,"15.6%","10.8%",1.65,0.44
"Sett","Top",31,"34.4%","30.0%","72.2%","45%","29%",68,87,130,2.3,"54.7%","23.0%","19%",87,20,3.3,7.5,"22.1%",354,"21.5%","21.7%",0.46,0.14
"Shen","Support",1,"1.1%","0.0%","1.1%","0%","0%",3,9,7,1.1,"32.3%","25.0%","0%",227,1678,38,5.7,"17.8%",338,"11.0%","15.1%",0.33,0.05
"Shyvana","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",13,0,7,20,"54.1%","0.0%","0%",-216,-390,-6,7.1,"31.3%",748,"26.9%","27.0%",0.36,0.2
"Singed","Top",1,"1.1%","0.0%","1.1%","100%","100%",4,2,8,6,"60.0%","20.0%","0%",-316,-347,-9,8.7,"29.0%",499,"28.3%","24.4%",0.47,0.07
"Sion","Top",2,"2.2%","0.0%","2.2%","50%","100%",4,9,18,2.4,"53.7%","17.6%","0%",527,1181,39,8.5,"26.9%",425,"20.2%","21.9%",0.59,0.15
"Sona","Top",1,"1.1%","0.0%","1.1%","0%","100%",2,4,3,1.3,"45.5%","17.4%","0%",-629,-761,-57,3.1,"11.7%",417,"28.3%","16.1%",0.78,0.44
"Soraka","Middle",1,"1.1%","26.7%","33.3%","100%","0%",0,0,15,15,"83.3%","0.0%","0%",-849,-276,-18,5.6,"12.7%",255,"12.9%","15.0%",0.53,0.25
"Soraka","Top",5,"5.6%","26.7%","33.3%","80%","40%",3,13,60,4.8,"75.9%","24.5%","20%",-280,-316,-0.8,5.2,"11.9%",262,"13.4%","14.9%",0.5,0.15
"Swain","Support",1,"1.1%","0.0%","2.2%","100%","0%",4,2,18,11,"59.5%","22.2%","100%",1348,1105,6,1.3,"7.1%",559,"20.1%","15.2%",0.95,0.28
"Swain","Top",1,"1.1%","0.0%","2.2%","0%","100%",1,6,1,0.3,"100.0%","40.0%","0%",-324,-190,-10,5.3,"13.8%",376,"27.0%","17.0%",0.52,0.21
"Sylas","Jungle",1,"1.1%","3.3%","7.8%","100%","100%",3,1,8,11,"61.1%","16.7%","0%",42,2,-2,5.3,"17.7%",428,"21.8%","17.4%",0.95,0.46
"Sylas","Middle",3,"3.3%","3.3%","7.8%","33%","100%",7,11,8,1.4,"46.9%","25.0%","0%",-100,15,-6,6.7,"18.9%",400,"21.4%","19.8%",0.42,0.16
"Syndra","ADC",3,"3.3%","67.8%","78.9%","100%","33%",16,1,20,36,"67.9%","8.3%","0%",615,602,17,9.2,"30.6%",491,"27.7%","25.1%",0.4,0.15
"Syndra","Middle",7,"7.8%","67.8%","78.9%","57%","0%",24,21,26,2.4,"59.5%","24.1%","29%",-68,-51,3.9,9,"26.8%",545,"30.7%","24.9%",0.42,0.18
"Tahm Kench","Support",16,"17.8%","10.0%","27.8%","50%","69%",10,41,98,2.6,"56.0%","22.2%","13%",-104,-73,-0.5,1.2,"2.8%",122,"6.9%","8.7%",1.36,0.21
"Taliyah","ADC",2,"2.2%","2.2%","7.8%","100%","50%",11,5,19,6,"73.2%","26.3%","50%",410,492,2.5,6.7,"22.0%",602,"22.8%","20.7%",0.31,0.23
"Taliyah","Jungle",3,"3.3%","2.2%","7.8%","33%","100%",7,9,22,3.2,"76.3%","20.0%","0%",152,216,2,6.2,"19.9%",462,"22.6%","19.2%",0.63,0.31
"Taric","Support",5,"5.6%","4.4%","10.0%","80%","60%",5,12,55,5,"70.6%","24.0%","20%",159,10,10,1.6,"3.6%",130,"6.3%","10.8%",1.38,0.3
"Teemo","Top",1,"1.1%","0.0%","1.1%","0%","0%",2,6,2,0.7,"44.4%","16.2%","0%",495,-63,10,8,"29.7%",795,"32.0%","32.0%",0.36,0.04
"Thresh","Support",20,"22.2%","27.8%","50.0%","75%","60%",19,52,205,4.3,"70.0%","23.9%","40%",46,21,-1.5,1.1,"2.5%",120,"5.9%","9.0%",1.52,0.36
"Tristana","ADC",1,"1.1%","3.3%","8.9%","100%","100%",4,1,6,10,"90.9%","9.1%","0%",105,-8,3,10.2,"36.7%",1232,"50.0%","31.4%",0.5,0.57
"Tristana","Middle",4,"4.4%","3.3%","8.9%","100%","50%",24,3,24,16,"77.4%","15.8%","75%",486,-84,-3.8,9.2,"27.1%",490,"28.9%","27.5%",0.39,0.35
"Trundle","Jungle",1,"1.1%","1.1%","3.3%","0%","100%",0,4,3,0.8,"75.0%","30.8%","0%",-573,-316,1,4.9,"12.5%",119,"6.1%","15.0%",0.21,0.45
"Trundle","Support",1,"1.1%","1.1%","3.3%","100%","100%",1,0,12,13,"100.0%","0.0%","100%",1303,601,78,6.8,"16.3%",141,"6.9%","18.8%",0.42,0.33
"Tryndamere","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Urgot","Top",1,"1.1%","0.0%","1.1%","100%","100%",5,3,4,3,"64.3%","21.4%","0%",-1254,-477,-3,8.3,"27.4%",462,"24.1%","25.8%",0.57,0.27
"Varus","ADC",13,"14.4%","1.1%","15.6%","38%","62%",49,32,55,3.3,"64.6%","16.2%","23%",295,58,4.5,10.1,"33.2%",522,"28.3%","28.1%",0.38,0.38
"Vayne","Middle",1,"1.1%","0.0%","1.1%","0%","100%",3,7,1,0.6,"50.0%","30.4%","0%",100,-632,17,7.9,"27.1%",440,"25.2%","23.1%",0.44,0.27
"Veigar","Middle",2,"2.2%","2.2%","4.4%","50%","100%",10,5,9,3.8,"65.5%","13.5%","50%",441,352,-2,8,"23.0%",521,"26.5%","23.1%",0.4,0.2
"Vel'koz","Middle",1,"1.1%","0.0%","1.1%","100%","100%",0,1,4,4,"44.4%","10.0%","100%",214,29,-1,8.1,"26.7%",675,"37.3%","23.4%",0.45,0.2
"Viktor","Middle",8,"8.9%","4.4%","13.3%","25%","100%",31,24,29,2.5,"69.0%","21.8%","13%",-58,83,1.4,9.4,"29.5%",597,"34.1%","27.5%",0.45,0.19
"Vladimir","Middle",1,"1.1%","6.7%","13.3%","100%","100%",5,1,8,13,"76.5%","10.0%","0%",235,191,8,8.5,"26.4%",539,"28.6%","22.1%",0.28,0.09
"Vladimir","Top",5,"5.6%","6.7%","13.3%","60%","100%",9,8,23,4,"50.8%","15.1%","20%",-84,81,-4.8,9.2,"29.1%",581,"26.9%","24.5%",0.39,0.1
"Xayah","ADC",18,"20.0%","11.1%","31.1%","44%","83%",65,36,78,4,"65.0%","15.4%","11%",-166,-20,-5.2,9.8,"34.8%",436,"24.4%","28.1%",0.36,0.28
"Yasuo","Middle",4,"4.4%","16.7%","21.1%","25%","50%",8,18,18,1.4,"68.4%","26.9%","0%",-389,-542,-15.3,8.7,"31.0%",266,"16.8%","26.2%",0.4,0.3
"Yuumi","Support",6,"6.7%","20.0%","26.7%","67%","33%",2,8,53,6.9,"93.2%","14.8%","17%",15,137,-9.7,0.3,"1.0%",254,"14.2%","8.4%",1.33,0.17
"Zac","Jungle",3,"3.3%","0.0%","6.7%","33%","100%",5,6,12,2.8,"60.7%","15.4%","0%",-149,-129,1.7,4.3,"11.1%",162,"8.2%","14.2%",0.39,0.39
"Zac","Support",1,"1.1%","0.0%","6.7%","100%","100%",0,3,10,3.3,"66.7%","50.0%","0%",-25,-357,5,1.1,"2.4%",177,"10.1%","7.6%",1.35,0.41
"Zac","Top",2,"2.2%","0.0%","6.7%","100%","100%",4,4,20,6,"63.2%","30.8%","50%",-560,-188,-25.5,6.4,"22.0%",458,"22.0%","18.2%",0.45,0.24
"Zed","Middle",1,"1.1%","0.0%","1.1%","100%","100%",9,5,1,2,"27.0%","55.6%","0%",-122,29,-3,5.9,"17.1%",509,"18.3%","17.2%",0.2,0.08
"Ziggs","ADC",2,"2.2%","1.1%","4.4%","50%","100%",8,7,25,4.7,"71.7%","18.9%","0%",253,-13,35,8.5,"33.4%",834,"33.6%","24.2%",0.24,0.04
"Ziggs","Middle",1,"1.1%","1.1%","4.4%","0%","100%",1,4,2,0.8,"42.9%","23.5%","100%",-289,-637,-16,8.5,"30.3%",518,"32.2%","25.2%",0.41,0.03
"Zoe","Middle",16,"17.8%","4.4%","22.2%","38%","50%",31,33,80,3.4,"65.3%","15.5%","38%",68,111,1.5,8.2,"24.5%",533,"31.9%","23.0%",0.48,0.19
"Zyra","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
