"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Irelia","Middle",10,"10.8%","66.7%","87.1%","70%","20%",35,23,59,4.1,"69.6%","28.4%","30%",230,-25,3.7,8.6,"24.2%",314,"19.0%","22.6%",0.45,0.22
"Irelia","Top",9,"9.7%","66.7%","87.1%","33%","22%",28,30,30,1.9,"63.7%","24.8%","44%",-5,94,8.2,8.8,"26.1%",324,"20.4%","24.3%",0.51,0.15
"Jarvan IV","Jungle",45,"48.4%","16.1%","66.7%","44%","36%",65,131,317,2.9,"81.3%","23.5%","29%",-54,-4,0,4.6,"12.5%",170,"9.6%","16.0%",0.76,0.46
"Jarvan IV","Support",1,"1.1%","16.1%","66.7%","100%","100%",1,1,13,14,"100.0%","25.0%","100%",940,207,53,4.3,"6.7%",109,"8.0%","13.3%",1.08,0.22
"Jarvan IV","Top",1,"1.1%","16.1%","66.7%","0%","100%",0,4,0,0,"0.0%","26.7%","0%",-315,-465,-9,6.9,"22.0%",216,"15.4%","18.7%",0.43,0.13
"Jax","Top",2,"2.2%","2.2%","4.3%","50%","100%",4,4,8,3,"70.6%","25.0%","50%",-105,-352,-13.5,8.7,"29.2%",168,"9.0%","23.9%",0.43,0.26
"Jayce","Middle",3,"3.2%","25.8%","46.2%","33%","0%",5,4,12,4.3,"77.3%","14.8%","33%",-46,20,0.3,8.9,"24.4%",463,"27.6%","23.7%",0.35,0.39
"Jayce","Top",16,"17.2%","25.8%","46.2%","69%","50%",56,41,75,3.2,"59.8%","25.8%","25%",225,8,6.7,8.2,"25.7%",598,"29.1%","24.2%",0.48,0.23
"Jinx","ADC",2,"2.2%","0.0%","2.2%","100%","100%",6,0,10,16,"66.7%","0.0%","50%",577,305,15,10.1,"29.5%",484,"32.1%","26.0%",0.45,0.24
"Kai'Sa","ADC",10,"10.8%","8.6%","19.4%","70%","70%",49,12,47,8,"71.1%","14.3%","50%",-68,3,-1.2,9.7,"30.5%",554,"28.5%","27.2%",0.4,0.35
"Kalista","ADC",2,"2.2%","5.4%","7.5%","50%","50%",9,6,17,4.3,"76.5%","19.4%","50%",-57,-634,-5.5,8.2,"26.6%",356,"15.4%","23.4%",0.41,0.35
"Karma","Middle",2,"2.2%","53.8%","60.2%","0%","100%",1,5,10,2.2,"84.6%","14.3%","0%",-233,226,-6.5,7.3,"23.3%",482,"25.7%","19.0%",0.52,0.37
"Karma","Support",1,"1.1%","53.8%","60.2%","0%","100%",1,2,4,2.5,"62.5%","15.4%","0%",-120,59,3,0.4,"1.1%",107,"7.2%","6.5%",0.91,0.25
"Karma","Top",3,"3.2%","53.8%","60.2%","67%","33%",5,4,14,4.8,"82.6%","23.5%","33%",-32,-123,-11.7,7.1,"17.8%",142,"11.0%","18.4%",0.54,0.16
"Karthus","Jungle",1,"1.1%","3.2%","5.4%","0%","100%",5,1,6,11,"91.7%","6.7%","100%",656,848,7,6.3,"17.1%",651,"29.7%","20.5%",0.69,0.39
"Karthus","Middle",1,"1.1%","3.2%","5.4%","100%","100%",3,1,7,10,"83.3%","20.0%","0%",362,166,22,9.7,"25.5%",567,"29.2%","23.4%",0.31,0.35
"Kennen","Top",17,"18.3%","15.1%","33.3%","53%","76%",30,40,73,2.6,"53.1%","23.7%","18%",293,19,5.9,8.1,"25.3%",414,"25.1%","22.7%",0.56,0.17
"Kindred","-",0,"0%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kled","Top",4,"4.3%","1.1%","5.4%","50%","75%",10,10,25,3.5,"67.3%","17.2%","25%",-80,-244,-10.3,7.8,"28.9%",367,"20.9%","24.0%",0.56,0.24
"LeBlanc","Middle",4,"4.3%","18.3%","22.6%","50%","75%",19,7,19,5.4,"59.4%","15.6%","0%",-181,57,-4,7.8,"22.7%",562,"27.2%","21.9%",0.41,0.25
"Lee Sin","Jungle",7,"7.5%","3.2%","10.8%","29%","71%",16,18,28,2.4,"69.8%","19.8%","57%",-48,-131,-2.3,4.7,"14.4%",224,"11.9%","17.4%",0.84,0.41
"Leona","Support",1,"1.1%","1.1%","2.2%","100%","100%",1,1,8,9,"69.2%","20.0%","100%",686,444,9,1.7,"5.1%",105,"7.9%","9.3%",1.52,0.44
