"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","CSPM","DPM","DMG%","GOLD%","WPM","WCPM"
"Karthus","Jungle",5,"1.7%","0.3%","2.4%","60%","80%",9,12,30,3.3,"73.6%","20.3%",5.5,386,"18.6%","18.0%",0.49,0.2
"Aatrox","Middle",4,"1.4%","35.6%","55.8%","25%","0%",9,6,5,2.3,"70.0%","16.2%",8.5,328,"23.2%","25.0%",0.35,0.23
"Riven","Jungle",4,"1.4%","5.1%","9.9%","25%","25%",15,15,18,2.2,"64.7%","23.1%",4.8,262,"14.2%","17.4%",0.47,0.33
"Evelynn","Jungle",4,"1.4%","1.4%","2.7%","50%","100%",16,10,17,3.3,"71.7%","23.3%",4.9,294,"16.2%","19.3%",0.55,0.14
"Ornn","Support",4,"1.4%","0.0%","2.7%","0%","100%",0,12,13,1.1,"72.2%","17.4%",2,180,"13.3%","14.2%",1.32,0.17
"Ornn","Top",4,"1.4%","0.0%","2.7%","25%","100%",5,13,28,2.5,"70.2%","22.8%",6.4,269,"12.5%","17.6%",0.39,0.15
"Soraka","Support",4,"1.4%","0.3%","1.7%","50%","100%",2,8,25,3.4,"54.0%","21.1%",0.6,190,"10.3%","9.0%",1.23,0.29
"Lissandra","Support",3,"1.0%","45.9%","88.4%","33%","33%",4,11,23,2.5,"64.3%","23.9%",0.6,219,"11.6%","9.8%",1.65,0.41
"Vayne","Middle",3,"1.0%","12.7%","33.2%","67%","100%",18,7,6,3.4,"64.9%","17.1%",8.8,754,"38.1%","25.7%",0.37,0.28
"Morgana","Middle",3,"1.0%","13.7%","22.9%","100%","100%",3,4,23,6.5,"72.2%","16.7%",7.4,438,"22.2%","19.7%",0.38,0.24
"Poppy","Jungle",3,"1.0%","5.1%","14.4%","67%","100%",7,5,23,6,"76.9%","16.1%",4.9,220,"9.8%","15.5%",0.43,0.61
"Yasuo","ADC",3,"1.0%","9.9%","14.4%","33%","67%",9,9,10,2.1,"57.6%","17.0%",8.8,261,"15.4%","25.3%",0.34,0.17
"Neeko","Top",3,"1.0%","6.5%","13.7%","67%","67%",10,6,12,3.7,"50.0%","15.0%",9.1,553,"28.1%","26.2%",0.38,0.14
"Karma","Middle",3,"1.0%","1.0%","3.8%","0%","67%",2,8,6,1,"72.7%","17.8%",8.4,339,"25.3%","23.2%",0.35,0.17
"Karma","Support",3,"1.0%","1.0%","3.8%","67%","100%",2,7,43,6.4,"81.8%","17.9%",0.6,291,"12.9%","12.7%",1.11,0.4
"Taliyah","Jungle",3,"1.0%","0.0%","2.4%","100%","33%",8,4,28,9,"75.0%","28.6%",5.9,457,"24.7%","19.0%",0.68,0.3
"Taliyah","Middle",3,"1.0%","0.0%","2.4%","0%","67%",8,7,9,2.4,"58.6%","13.5%",8.5,427,"21.5%","22.8%",0.5,0.33
"Swain","Top",3,"1.0%","0.7%","2.1%","67%","100%",14,2,22,18,"81.8%","7.1%",8.4,541,"30.5%","26.3%",0.47,0.16
"Pyke","Support",3,"1.0%","0.3%","1.7%","67%","100%",15,15,24,2.6,"62.9%","39.5%",2,237,"11.5%","15.9%",1.42,0.27
"Kassadin","Middle",3,"1.0%","0.3%","1.4%","33%","100%",12,5,3,3,"75.0%","20.8%",9.2,412,"33.7%","28.2%",0.28,0.25
"Lulu","Middle",3,"1.0%","0.3%","1.4%","67%","67%",7,6,20,4.5,"73.0%","20.7%",7.4,343,"21.3%","19.6%",0.5,0.2
"Nautilus","Support",3,"1.0%","0.0%","1.0%","33%","100%",3,12,12,1.3,"62.5%","26.1%",2.1,145,"10.6%","14.9%",1.5,0.19
"Lucian","Middle",2,"0.7%","42.8%","68.5%","50%","0%",7,3,8,5,"68.2%","20.0%",8.8,323,"21.9%","24.1%",0.49,0.29
"Jarvan IV","Top",2,"0.7%","15.1%","55.5%","50%","50%",0,6,16,2.7,"80.0%","20.7%",6.5,223,"13.4%","17.8%",0.46,0.09
"Vladimir","ADC",2,"0.7%","32.5%","52.7%","0%","0%",0,9,10,1.1,"34.5%","25.0%",7.6,364,"18.4%","20.4%",0.36,0.19
"Sejuani","Support",2,"0.7%","6.5%","16.1%","50%","0%",3,4,10,3.3,"72.2%","14.3%",2.2,129,"10.0%","16.4%",1.25,0.29
"Neeko","Middle",2,"0.7%","6.5%","13.7%","0%","100%",6,5,6,2.4,"80.0%","15.2%",9.2,431,"22.7%","25.7%",0.53,0.27
"Jax","Jungle",2,"0.7%","5.8%","11.3%","50%","100%",9,6,4,2.2,"65.0%","33.3%",5.2,155,"9.9%","18.6%",0.72,0.62
"Riven","Middle",2,"0.7%","5.1%","9.9%","50%","100%",4,1,6,10,"55.6%","6.7%",9,292,"19.0%","23.7%",0.52,0.22
"Karma","Top",2,"0.7%","1.0%","3.8%","0%","50%",3,4,3,1.5,"60.0%","12.5%",7.8,336,"26.0%","21.0%",0.43,0.1
"Kayle","Top",2,"0.7%","1.0%","2.1%","50%","100%",4,6,13,2.8,"60.7%","23.1%",8.6,497,"27.4%","22.8%",0.48,0.2
"Ahri","Middle",2,"0.7%","0.0%","0.7%","50%","100%",3,1,15,18,"75.0%","7.7%",8.8,371,"22.5%","21.9%",0.23,0.24
"Aurelion Sol","Middle",2,"0.7%","0.0%","0.7%","50%","100%",6,5,16,4.4,"73.3%","17.9%",8,487,"23.7%","22.1%",0.52,0.13
"Darius","Top",2,"0.7%","0.0%","0.7%","0%","100%",4,13,3,0.5,"43.8%","23.6%",7.7,438,"26.0%","23.2%",0.4,0.06
"Draven","ADC",2,"0.7%","0.0%","0.7%","50%","100%",8,6,3,1.8,"55.0%","18.2%",8.2,607,"27.7%","27.0%",0.38,0.33
"Leona","Support",2,"0.7%","0.0%","0.7%","0%","100%",4,8,11,1.9,"62.5%","23.5%",2,107,"6.8%","16.2%",1.54,0.3
"Malphite","Top",2,"0.7%","0.0%","0.7%","100%","100%",11,1,15,26,"57.8%","3.7%",7.5,372,"19.0%","22.3%",0.24,0.18
"Vel'koz","Middle",2,"0.7%","0.0%","0.7%","0%","100%",0,5,4,0.8,"57.1%","17.9%",9.2,248,"25.2%","23.1%",0.47,0.28
"Vi","Jungle",2,"0.7%","0.0%","0.7%","0%","100%",3,5,10,2.6,"81.3%","12.8%",4.9,144,"8.2%","18.0%",0.28,0.26
"Lissandra","Top",1,"0.3%","45.9%","88.4%","0%","0%",0,3,5,1.7,"62.5%","17.6%",6.3,325,"22.6%","17.6%",0.32,0.1
"Cassiopeia","Top",1,"0.3%","41.1%","48.6%","0%","0%",1,3,0,0.3,"25.0%","25.0%",6.7,242,"23.0%","18.9%",0.33,0.08
"Sylas","Jungle",1,"0.3%","16.1%","22.6%","100%","0%",4,1,6,10,"71.4%","20.0%",5.4,411,"23.4%","19.0%",0.44,0.56
"Sejuani","Top",1,"0.3%","6.5%","16.1%","0%","0%",0,2,3,1.5,"33.3%","12.5%",7.7,374,"21.5%","19.2%",0.33,0.1
"Corki","ADC",1,"0.3%","4.8%","14.7%","0%","100%",1,2,4,2.5,"41.7%","9.5%",10.8,470,"24.9%","25.2%",0.39,0.52
"Renekton","Middle",1,"0.3%","3.8%","13.0%","100%","100%",5,1,3,8,"42.1%","25.0%",11.3,615,"27.3%","27.5%",0.16,0.32
"Kled","Middle",1,"0.3%","5.8%","8.9%","100%","100%",2,2,16,9,"85.7%","10.5%",7.8,492,"18.0%","21.4%",0.51,0.22
"Karthus","Middle",1,"0.3%","0.3%","2.4%","100%","100%",14,3,9,7.7,"95.8%","27.3%",7.5,806,"40.5%","27.2%",0.27,0.08
