"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ezreal","ADC",31,"34.1%","17.6%","51.6%","35%","77%",100,68,121,3.3,"64.4%","13.8%","16%",3,-129,-1.2,9.4,"31.1%",599,"32.7%","27.6%",0.42,0.26
"Fiddlesticks","Support",3,"3.3%","6.6%","9.9%","67%","100%",7,12,20,2.3,"61.4%","31.6%","33%",345,443,-3,0.6,"2.1%",305,"15.3%","10.0%",1.24,0.39
"Fizz","Middle",1,"1.1%","0.0%","1.1%","0%","0%",7,6,4,1.8,"44.0%","14.6%","0%",-229,748,4,6,"18.8%",535,"19.4%","20.9%",0.16,0.13
"Gangplank","Top",11,"12.1%","8.8%","20.9%","45%","55%",32,30,81,3.8,"66.9%","17.1%","0%",52,23,0.5,8.6,"26.7%",606,"27.4%","25.4%",0.56,0.16
"Garen","ADC",1,"1.1%","0.0%","2.2%","100%","100%",4,3,8,4,"54.5%","23.1%","0%",-1543,-650,-20,7.3,"20.5%",189,"7.7%","18.9%",1.32,0.34
"Garen","Top",1,"1.1%","0.0%","2.2%","0%","100%",0,4,0,0,"0.0%","22.2%","0%",-1436,-617,-12,6.9,"19.0%",62,"6.6%","17.9%",0.49,0.31
"Gnar","Top",11,"12.1%","6.6%","18.7%","73%","64%",19,23,56,3.3,"55.1%","22.5%","18%",5,-6,-2.2,8,"22.1%",326,"20.5%","20.0%",0.52,0.2
"Gragas","Jungle",23,"25.3%","9.9%","38.5%","57%","48%",61,57,151,3.7,"65.2%","17.9%","48%",-90,-98,-5,4.4,"11.9%",333,"18.4%","15.0%",0.83,0.37
"Gragas","Support",3,"3.3%","9.9%","38.5%","100%","33%",15,10,29,4.4,"53.0%","25.0%","0%",376,178,5.3,2.3,"17.3%",542,"17.1%","12.7%",1.1,0.28
"Hecarim","Top",1,"1.1%","0.0%","1.1%","0%","100%",1,4,1,0.5,"66.7%","30.8%","0%",-309,-308,-1,8.6,"25.0%",174,"13.6%","24.5%",0.46,0.06
"Heimerdinger","-",0,"0%","4.4%","4.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Irelia","Middle",9,"9.9%","62.6%","76.9%","33%","44%",30,35,38,1.9,"73.1%","27.1%","44%",62,-223,0.7,9.3,"28.6%",322,"21.3%","27.2%",0.44,0.15
"Irelia","Top",4,"4.4%","62.6%","76.9%","50%","25%",12,12,23,2.9,"50.0%","18.5%","25%",-164,65,10.5,8.8,"28.7%",405,"18.5%","23.2%",0.38,0.14
"Ivern","Jungle",1,"1.1%","0.0%","1.1%","100%","100%",1,1,9,10,"66.7%","14.3%","0%",19,366,11,5.2,"16.1%",113,"5.7%","17.1%",0.3,0.22
"Janna","ADC",1,"1.1%","0.0%","1.1%","100%","100%",5,5,27,6.4,"78.0%","19.2%","100%",-276,-1231,-54,0.5,"2.3%",225,"7.8%","15.2%",0.91,0.32
"Jarvan IV","Jungle",26,"28.6%","17.6%","51.6%","62%","31%",30,71,260,4.1,"81.5%","23.0%","35%",-72,61,3,4.5,"11.8%",158,"9.1%","15.1%",0.78,0.58
"Jarvan IV","Top",5,"5.5%","17.6%","51.6%","60%","40%",14,8,39,6.6,"75.7%","17.4%","0%",252,65,2.2,8.1,"24.1%",327,"19.8%","21.5%",0.46,0.18
"Jax","Top",6,"6.6%","2.2%","8.8%","83%","100%",19,14,27,3.3,"47.9%","18.9%","0%",-2,293,-6.7,8.7,"27.8%",400,"21.7%","23.8%",0.42,0.13
"Jayce","Middle",3,"3.3%","13.2%","25.3%","33%","67%",10,8,12,2.8,"59.5%","14.8%","0%",-211,10,-2.3,9,"29.3%",529,"27.9%","25.0%",0.46,0.35
"Jayce","Top",8,"8.8%","13.2%","25.3%","38%","38%",26,18,31,3.2,"65.5%","16.1%","25%",243,114,2.4,8.3,"27.4%",497,"28.8%","25.8%",0.43,0.21
"Jhin","ADC",1,"1.1%","0.0%","1.1%","100%","100%",4,0,5,9,"60.0%","0.0%","0%",149,-69,1,11.1,"31.3%",309,"22.6%","25.6%",0.34,0.26
"Jinx","ADC",2,"2.2%","1.1%","3.3%","0%","100%",4,7,6,1.4,"62.5%","17.9%","0%",60,-474,-5.5,10.4,"35.4%",454,"25.6%","28.3%",0.32,0.41
"Kai'Sa","ADC",18,"19.8%","5.5%","25.3%","50%","44%",79,45,86,3.7,"63.2%","19.2%","33%",-89,-44,-0.8,9.8,"32.4%",485,"27.1%","27.3%",0.36,0.31
"Kalista","-",0,"0%","5.5%","5.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Karma","ADC",5,"5.5%","44.0%","65.9%","80%","0%",11,7,43,7.7,"60.0%","13.0%","20%",-353,-54,-16.6,6.9,"21.4%",405,"20.3%","19.0%",0.59,0.24
"Karma","Middle",2,"2.2%","44.0%","65.9%","50%","0%",1,9,9,1.1,"71.4%","36.0%","0%",-273,-353,-5,7.8,"19.4%",291,"18.7%","18.2%",0.48,0.34
"Karma","Top",13,"14.3%","44.0%","65.9%","62%","8%",19,28,88,3.8,"61.1%","18.7%","23%",58,17,0.9,7.2,"18.7%",373,"20.8%","19.3%",0.51,0.14
"Karthus","Jungle",1,"1.1%","1.1%","2.2%","0%","100%",1,4,8,2.3,"69.2%","15.4%","0%",-250,115,1,6.7,"19.7%",610,"24.6%","19.0%",0.35,0.19
