"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"CoreJJ","Team Liquid","Support",18,"78%","39%",18,29,158,6.1,"74.9%","7.7%","22.1%","22%",72,32,0.9,1.6,"4.9%",133,"6.6%","10.6%",1.41,0.33
"Crown","OpTic Gaming","Middle",18,"39%","61%",43,44,74,2.7,"72.2%","26.5%","20.2%","28%",61,93,-0.1,8.6,"25.8%",521,"31.3%","23.8%",0.58,0.22
"Damonte","Clutch Gaming","Middle",16,"31%","38%",47,29,57,3.6,"59.4%","26.9%","14.2%","13%",-90,-127,1.9,9.3,"28.0%",420,"23.0%","24.9%",0.47,0.16
"Dardoch","OpTic Gaming","Jungle",6,"50%","33%",11,14,31,3,"66.7%","17.5%","18.9%","17%",-19,-235,-0.8,4.9,"13.4%",253,"13.6%","15.8%",0.55,0.35
"Deftly","Golden Guardians","ADC",19,"47%","26%",48,27,77,4.6,"64.1%","24.6%","12.3%","26%",40,21,8.2,9.5,"29.6%",436,"22.8%","25.5%",0.33,0.4
"Dhokla","OpTic Gaming","Top",16,"38%","63%",29,47,36,1.4,"47.8%","21.3%","24.2%","13%",-233,-128,-6.3,8,"25.4%",354,"21.3%","22.6%",0.42,0.18
"Diamond","Cloud9","Support",1,"100%","0%",2,0,13,15,"78.9%","10.5%","0.0%","100%",1123,896,12,2.5,"7.8%",108,"6.4%","13.8%",1.22,0.17
"Doublelift","Team Liquid","ADC",18,"78%","50%",76,23,95,7.4,"72.8%","32.3%","17.6%","22%",136,80,2.2,10.2,"31.3%",659,"31.7%","27.9%",0.39,0.41
"FakeGod","100 Thieves","Top",2,"0%","50%",1,5,5,1.2,"46.2%","7.7%","14.3%","50%",-86,-80,2.5,7.6,"28.6%",400,"22.8%","22.0%",0.4,0.14
"FallenBandit","Counter Logic Gaming","Top",1,"0%","100%",1,4,0,0.3,"33.3%","33.3%","28.6%","0%",327,18,2,7.6,"20.1%",352,"23.7%","22.3%",0.57,0.09
"Fenix","Echo Fox","Middle",18,"44%","50%",48,39,71,3.1,"64.7%","26.1%","20.1%","11%",65,58,3.9,8.9,"26.7%",525,"29.3%","23.7%",0.34,0.13
"Fragas","100 Thieves","Jungle",2,"0%","100%",0,10,12,1.2,"92.3%","0.0%","28.6%","50%",-689,-610,-7,4,"11.9%",173,"10.0%","14.0%",0.54,0.31
